"id","date","amount","card","id_merchant"
3163,"2018-12-07 07:22:03",1894.0000000000002,"4761049645711555811",9
2451,"2018-03-05 08:26:08",1617.0000000000002,"5570600642865857",4
2840,"2018-03-06 07:18:09",1334,"4319653513507",87
2461,"2018-12-21 09:56:32",1301,"30142966699187",96
1442,"2018-01-22 08:07:03",1131,"5570600642865857",144
968,"2018-09-26 08:48:40",1060,"4761049645711555811",134
1368,"2018-09-06 08:28:55",1017,"4761049645711555811",135
1620,"2018-03-26 07:41:59",1009,"30181963913340",111
136,"2018-07-18 09:19:08",974,"344119623920892",19
208,"2018-12-14 08:51:41",748,"501879657465",96
2240,"2018-11-23 09:08:05",233,"501879657465",47
774,"2018-04-01 07:17:21",100,"4319653513507",111
2540,"2018-08-26 07:15:18",23.13,"4506405265172173",147
2523,"2018-08-28 07:17:14",20.71,"4165305432349489280",128
3005,"2018-10-07 08:16:54",20.44,"4586962917519654607",89
2677,"2018-10-18 07:16:04",19.86,"5500708021555307",96
2476,"2018-12-31 09:50:25",19.75,"4723783028106084756",16
3238,"2018-03-03 08:42:02",19.5,"4681896441519",23
2539,"2018-06-04 08:30:28",19.49,"584226564303",63
2613,"2018-08-25 09:38:14",19.34,"213193946980303",146
2895,"2018-03-26 08:08:27",19.34,"5500708021555307",96
2538,"2018-06-01 08:56:59",19.33,"180098539019105",79
3217,"2018-12-23 07:39:47",19.27,"4962915017023706562",35
2926,"2018-02-13 09:24:07",19.2,"30142966699187",40
2826,"2018-09-23 07:30:56",19.02,"4723783028106084756",99
2861,"2018-02-21 08:21:10",18.98,"4268491956169254",23
2703,"2018-07-04 08:51:29",18.93,"213193946980303",26
2847,"2018-08-02 07:44:24",18.93,"5361779664174555",34
2723,"2018-06-09 07:29:28",18.82,"4188164051171486",65
2756,"2018-06-02 07:45:48",18.76,"4150721559116778",86
3291,"2018-01-06 08:42:50",18.72,"3535651398328201",76
2833,"2018-06-24 07:28:48",18.6,"5175947111814778",44
2484,"2018-06-23 07:12:06",18.56,"4834483169177062",64
3019,"2018-08-14 08:38:49",18.54,"4498002758300",55
3305,"2018-10-07 07:08:08",18.53,"3582198969197591",81
2836,"2018-02-27 08:27:00",18.52,"675911140852",6
2661,"2018-09-12 07:33:19",18.48,"4834483169177062",26
2890,"2018-01-06 07:00:32",18.35,"3561954487988605",76
3154,"2018-02-25 09:36:59",18.32,"4539990688484983",75
2590,"2018-02-18 08:54:19",18.3,"344119623920892",69
3007,"2018-02-25 07:55:21",18.14,"3535651398328201",43
2975,"2018-12-03 09:24:59",18.08,"4644008655884311378",14
2862,"2018-02-18 09:33:06",18.06,"5570600642865857",88
2522,"2018-06-20 09:58:49",17.88,"5297187379298983",21
3207,"2018-02-26 09:57:26",17.87,"4723783028106084756",4
2688,"2018-02-05 08:37:24",17.85,"180098539019105",1
2692,"2018-09-02 07:36:42",17.8,"4150721559116778",106
3316,"2018-04-15 08:32:38",17.78,"501879657465",85
3020,"2018-04-09 07:08:11",17.73,"4150721559116778",61
2955,"2018-06-13 08:46:29",17.56,"4279104135293225293",102
2633,"2018-01-18 08:18:50",17.54,"4165305432349489280",104
2838,"2018-01-18 08:58:13",17.53,"180098539019105",137
2805,"2018-05-20 08:36:46",17.48,"4159836738768855913",47
3240,"2018-06-02 07:44:39",17.47,"3535651398328201",56
2479,"2018-10-12 09:51:16",17.36,"6500236164848279",124
2866,"2018-01-16 08:02:04",17.36,"30078299053512",116
3248,"2018-09-11 09:40:23",17.14,"4165305432349489280",107
3087,"2018-12-28 07:02:38",17.13,"4711773125020499",96
2673,"2018-06-08 07:31:57",17.03,"4268491956169254",122
2910,"2018-12-01 09:52:14",16.88,"5361779664174555",101
3223,"2018-10-28 07:02:33",16.85,"4276466390111",32
2834,"2018-10-29 07:18:34",16.85,"503842928916",127
2595,"2018-10-24 09:56:38",16.84,"4866761290278198714",70
2854,"2018-04-23 08:18:49",16.65,"4834483169177062",62
3040,"2018-05-03 07:20:28",16.64,"584226564303",66
2555,"2018-10-30 09:45:03",16.64,"4866761290278198714",48
2486,"2018-03-05 07:34:15",16.58,"4319653513507",135
3167,"2018-07-29 09:00:39",16.57,"4586962917519654607",51
3036,"2018-11-06 09:41:03",16.41,"4159836738768855913",126
2640,"2018-02-18 07:25:42",16.38,"3582198969197591",94
2570,"2018-03-28 07:36:02",16.36,"4165305432349489280",67
3062,"2018-12-16 08:41:53",16.35,"3581345943543942",61
2557,"2018-01-06 08:49:34",16.28,"4268491956169254",101
3011,"2018-07-17 08:10:36",16.21,"4586962917519654607",83
2717,"2018-06-10 07:55:27",16.16,"4498002758300",10
3014,"2018-06-02 09:56:49",16.08,"3516952396080247",15
2816,"2018-04-11 08:26:52",16.07,"5135837688671496",34
2637,"2018-09-06 08:35:35",15.98,"3535651398328201",73
3230,"2018-06-19 07:16:54",15.98,"372414832802279",47
3182,"2018-05-28 07:57:39",15.96,"675911140852",128
2747,"2018-10-30 07:08:04",15.94,"4188164051171486",25
2467,"2018-06-26 08:00:22",15.94,"503842928916",141
3063,"2018-02-05 09:39:22",15.73,"503842928916",75
3122,"2018-07-27 09:49:48",15.58,"4962915017023706562",136
2504,"2018-08-31 09:30:29",15.42,"4150721559116778",112
2996,"2018-05-20 07:05:42",15.37,"30142966699187",120
3196,"2018-01-24 09:31:37",15.22,"376027549341849",83
2521,"2018-01-14 07:33:54",15.21,"4741042733274",21
3284,"2018-01-27 08:36:58",15.15,"6500236164848279",71
3100,"2018-02-25 08:23:37",15.1,"4834483169177062",138
2988,"2018-06-10 08:20:40",15.05,"5135837688671496",127
2831,"2018-04-20 08:27:59",15.04,"30142966699187",33
3059,"2018-12-25 09:55:58",14.98,"4743204091443101526",135
2909,"2018-09-26 07:52:23",14.94,"4743204091443101526",34
2515,"2018-12-11 07:42:50",14.92,"3517111172421930",71
3053,"2018-04-07 07:18:20",14.8,"5297187379298983",23
2511,"2018-07-11 09:57:31",14.8,"4279104135293225293",58
2858,"2018-07-16 09:25:54",14.78,"5175947111814778",72
2998,"2018-10-17 09:49:28",14.67,"4165305432349489280",137
2819,"2018-08-02 07:13:49",14.42,"3516952396080247",14
