"id","date","amount","card","id_merchant"
297,"2018-06-27 08:22:41",6.68,"5175947111814778",150
1452,"2018-08-10 09:06:53",11.38,"30142966699187",150
730,"2018-10-02 07:39:36",1.54,"584226564303",149
3498,"2018-01-11 09:58:11",1.62,"5500708021555307",149
1246,"2018-02-19 08:50:36",12.17,"4761049645711555811",149
399,"2018-04-23 09:08:20",2.75,"4761049645711555811",147
963,"2018-07-15 08:56:47",10.21,"5297187379298983",147
2540,"2018-08-26 07:15:18",23.13,"4506405265172173",147
1659,"2018-04-24 07:41:49",14.3,"6500236164848279",147
2613,"2018-08-25 09:38:14",19.34,"213193946980303",146
353,"2018-03-07 09:22:27",3.97,"4159836738768855913",146
315,"2018-01-11 09:38:33",7.94,"5135837688671496",146
2395,"2018-10-09 09:34:06",4.49,"4263694062533017",144
1442,"2018-01-22 08:07:03",1131,"5570600642865857",144
1294,"2018-09-10 07:47:31",10.32,"180098539019105",144
719,"2018-08-15 09:33:28",2.29,"3517111172421930",144
2023,"2018-07-17 09:00:53",3.97,"4498002758300",143
2467,"2018-06-26 08:00:22",15.94,"503842928916",141
1502,"2018-01-25 08:58:28",11.35,"376027549341849",141
540,"2018-12-16 09:38:32",1.39,"4586962917519654607",141
1776,"2018-09-27 09:50:26",10.44,"4159836738768855913",141
168,"2018-01-24 08:28:08",5,"4268491956169254",141
779,"2018-04-29 08:15:40",1.11,"3516952396080247",141
2279,"2018-07-21 07:26:50",5.11,"4159836738768855913",140
666,"2018-02-24 07:59:19",2.9,"5570600642865857",139
2082,"2018-12-22 08:37:19",2.51,"3516952396080247",139
2183,"2018-02-28 09:13:38",2.59,"4962915017023706562",139
3100,"2018-02-25 08:23:37",15.1,"4834483169177062",138
681,"2018-01-29 07:09:51",2.46,"4723783028106084756",138
765,"2018-10-05 07:41:47",2.49,"4027907156459098",138
1811,"2018-06-02 07:02:24",10.15,"4962915017023706562",138
2998,"2018-10-17 09:49:28",14.67,"4165305432349489280",137
2838,"2018-01-18 08:58:13",17.53,"180098539019105",137
1345,"2018-06-16 07:02:51",10.56,"6500236164848279",137
3122,"2018-07-27 09:49:48",15.58,"4962915017023706562",136
1874,"2018-05-01 07:40:00",12.98,"6500236164848279",136
3059,"2018-12-25 09:55:58",14.98,"4743204091443101526",135
2144,"2018-09-02 07:33:42",2.05,"4263694062533017",135
419,"2018-07-16 09:01:08",6.34,"4586962917519654607",135
2486,"2018-03-05 07:34:15",16.58,"4319653513507",135
1368,"2018-09-06 08:28:55",1017,"4761049645711555811",135
405,"2018-04-22 07:19:40",7.33,"5297187379298983",135
2230,"2018-09-13 09:38:34",5.16,"4741042733274",135
968,"2018-09-26 08:48:40",1060,"4761049645711555811",134
295,"2018-11-24 07:57:37",3.88,"584226564303",134
319,"2018-06-25 07:07:38",3.09,"6500236164848279",133
3462,"2018-04-29 08:03:32",1.72,"4743204091443101526",132
546,"2018-09-24 08:19:07",1.89,"4743204091443101526",132
1066,"2018-07-31 07:44:59",11.93,"4681896441519",132
1547,"2018-10-05 09:07:35",11.12,"4263694062533017",131
1035,"2018-11-24 07:08:51",10.58,"3582198969197591",130
1280,"2018-09-01 09:41:45",10.68,"4723783028106084756",130
3410,"2018-03-20 08:58:40",2.06,"4276466390111",130
1822,"2018-05-05 09:06:25",10.84,"4276466390111",130
1628,"2018-09-16 09:16:55",11.94,"5570600642865857",129
3397,"2018-10-05 08:27:56",1.36,"30078299053512",129
1147,"2018-10-22 07:41:56",13.83,"4711773125020499",129
2435,"2018-03-31 08:48:53",3.65,"5361779664174555",129
2523,"2018-08-28 07:17:14",20.71,"4165305432349489280",128
2123,"2018-11-15 07:29:13",2.09,"4723783028106084756",128
655,"2018-10-10 09:01:17",1.6,"5175947111814778",128
3182,"2018-05-28 07:57:39",15.96,"675911140852",128
1843,"2018-09-15 08:33:49",11.72,"5500708021555307",128
2834,"2018-10-29 07:18:34",16.85,"503842928916",127
2988,"2018-06-10 08:20:40",15.05,"5135837688671496",127
2168,"2018-07-02 08:25:29",5.5,"5297187379298983",127
2375,"2018-12-17 09:10:47",4.86,"180098539019105",126
3036,"2018-11-06 09:41:03",16.41,"4159836738768855913",126
117,"2018-08-06 09:42:47",7.5,"4263694062533017",125
2171,"2018-06-19 08:34:09",1.46,"503842928916",125
2479,"2018-10-12 09:51:16",17.36,"6500236164848279",124
338,"2018-04-07 09:06:38",3.22,"4681896441519",124
2320,"2018-04-09 08:30:25",1.99,"4539990688484983",124
1791,"2018-03-02 09:24:52",10.56,"4834483169177062",124
2885,"2018-09-03 07:27:55",13.59,"376027549341849",123
1865,"2018-08-30 08:46:49",11.86,"584226564303",122
2673,"2018-06-08 07:31:57",17.03,"4268491956169254",122
1456,"2018-01-20 08:35:34",11.96,"501879657465",121
694,"2018-03-23 07:13:23",1.46,"376027549341849",121
2996,"2018-05-20 07:05:42",15.37,"30142966699187",120
3412,"2018-04-07 08:18:17",2.58,"503842928916",120
3353,"2018-04-15 09:50:16",1.54,"30142966699187",120
987,"2018-11-09 07:37:01",10.74,"3517111172421930",120
3451,"2018-09-12 07:09:31",1.09,"501879657465",119
2221,"2018-05-20 09:33:41",1.9,"5135837688671496",118
564,"2018-09-21 07:53:08",0.61,"5361779664174555",117
1201,"2018-07-25 07:55:47",10.68,"4276466390111",116
2866,"2018-01-16 08:02:04",17.36,"30078299053512",116
2058,"2018-07-29 07:42:47",5.84,"6500236164848279",116
262,"2018-11-25 08:31:16",6.46,"4962915017023706562",116
3306,"2018-08-08 08:36:23",12.52,"180098539019105",116
45,"2018-02-01 09:29:56",6.3,"4539990688484983",116
1623,"2018-07-21 09:34:52",12.16,"501809222273",116
1657,"2018-02-01 08:49:24",10.26,"4723783028106084756",115
1674,"2018-06-12 07:21:43",10.53,"4539990688484983",114
553,"2018-10-13 07:56:45",2.11,"4962915017023706562",114
3378,"2018-05-14 07:06:07",1.46,"501879657465",114
2224,"2018-06-07 07:07:22",1.62,"3561072557118696",114
1425,"2018-04-19 08:09:45",10.24,"4741042733274",114
537,"2018-11-09 09:18:16",1.51,"5500708021555307",114
